,Lost,Confusee,Spurious,contribution_to_overall_error,char_occurance,total_detected_chars,contribution_to_detection_error
७,35.34626915523351,1.5151349407940746,32.22032810465394,0.005907100991736622,57.0,152359.0,0.0032817227731870117
९,0.0,1.1852832276946426,18.215457289069676,0.002624327516074006,69.0,76210.0,0.001312163758037003
$,100.0,0.0,0.0,0.0077972709551656924,2.0,25650.0,0.0077972709551656924
১,12.976074720278282,87.02392527972171,0.0,0.0027390131335679755,2.0,73019.0,0.0027390131335679755
!,0.0,0.0,16.70694411770996,0.002138625719112898,5.0,46759.0,0.0
+,0.0,0.0,99.59347724720394,0.001970223357654646,1.0,304534.0,0.0
=,0.0,0.30716706613272193,189.89102764503596,0.005954773495303173,3.0,268692.0,0.0007443466869128966
J,0.0,28.208284935847683,12.552122084776338,0.0010705434613881737,7.0,186821.0,0.0005352717306940869
Q,0.0,0.0,9.931390818228019,0.0004235134677282738,3.0,236120.0,0.0
U,59.41502587306636,6.660134273177172,27.264705580579296,0.0023940709123804246,7.0,292389.0,0.0017100506517003032
k,0.0,1.036027816097947,0.0,0.0003458125557622746,26.0,289174.0,0.0003458125557622746
z,0.0,2.6161927600776522,0.0,0.00047021206564160437,8.0,212670.0,0.00047021206564160437
},0.0,0.0,100.0,0.003205282305239034,0.0,62397.0,0.0
ऽ,0.0,0.0,100.0,0.002567591855598634,0.0,38947.0,0.0
५,0.49234658109108864,0.0,38.94511643215667,0.0029622315477659837,125.0,101275.0,0.0009874105159219946
